"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a","FocusedObject","RayDirection_x","RayDirection_y","RayDirection_z"
"92",52.22393,"1","B6",NA,-0.2316911,-0.043965,0.9715242,-2.520484,12.6149603,5.7194332,-32.3204505,-0.3940526,0.0105756,0.9187026,0.6061303,-23.9362439,10.4644542,-62.0394671,"B6","-0.456168","-0.1602363","-0.875343"
"93",52.2355,"1","B6",NA,-0.2312442,-0.043592,0.9716477,-2.4990873,12.588382,4.6376564,5.967207,-0.3930061,0.0104092,0.9191526,0.5965914,-23.8709507,7.5388975,-37.104275,"B6","-0.451648","-0.1666914","-0.8764742"
"94",52.2575,"1","B6",NA,-0.2302132,-0.0422059,0.9719536,-2.4195784,12.5267846,6.9571789,-98.407443,-0.3909136,0.0094004,0.9200554,0.5387739,-23.7403349,11.4691657,-117.6110267,"B6","-0.4480534","-0.16911","-0.87786"
"95",52.26885,"1","B6",NA,-0.2302558,-0.0420126,0.9719518,-2.4084874,12.5291863,3.5266672,45.074081,-0.3901741,0.0094063,0.9203691,0.5391127,-23.6942943,6.7717343,-46.4827064,"B6","-0.4472267","-0.1699542","-0.8781217"
"96",52.29062,"1","B6",NA,-0.2292358,-0.0401099,0.9722731,-2.29935,12.4680094,12.0691257,474.72366,-0.3878676,0.0079257,0.9213575,0.4542511,-23.5504713,13.7578404,386.872175,"B6","-0.4452035","-0.1710429","-0.8789339"
"97",52.31298,"1","B6",NA,-0.2290519,-0.0349429,0.9725162,-2.0030161,12.4545456,24.5247957,-465.1657813,-0.3860613,0.0031032,0.9221446,0.177851,-23.4375557,23.8833239,-519.0385936,"B6","-0.4458663","-0.1720852","-0.8783953"
"98",52.32427,"1","B6",NA,-0.2300723,-0.0331612,0.9723375,-1.9008465,12.5138468,7.7322417,-666.4752686,-0.3859796,0.0014585,0.9221829,0.0835897,-23.4323868,7.0508784,-585.757502,"B6","-0.4472057","-0.1719695","-0.8777279"
"99",52.34617,"1","B6",NA,-0.2298639,-0.0331059,0.9723885,-1.8976752,12.5015488,11.1143125,597.6593726,-0.3844724,0.0017684,0.9228117,0.1013544,-23.3387888,14.0457677,604.4695484,"B6","-0.4637138","-0.1407995","-0.8747129"
"100",52.36848,"1","B6",NA,-0.2262644,-0.0406769,0.9729458,-2.3318741,12.2932679,34.3364856,825.0088799,-0.3819473,0.0096188,0.9238113,0.5512905,-23.1831593,33.8913551,741.7127513,"B6","-0.4554433","-0.112133","-0.8831683"
"101",52.39064,"1","B6",NA,-0.2213003,-0.0490923,0.9736989,-2.8146542,12.0060437,47.834839,-947.2747774,-0.3782377,0.0184378,0.9252027,1.0567828,-22.956174,47.0519075,-872.034072,"B6","-0.4559284","-0.1188227","-0.8820423"
"102",52.40185,"1","B6",NA,-0.2191585,-0.0524194,0.9740098,-3.0055778,11.8822279,19.7685747,-1440.199426,-0.3767026,0.0219158,0.9257529,1.2561607,-22.8627829,20.843422,-1297.76134,"B6","-0.4602524","-0.1153405","-0.8802627"
